Law ID,State,State Postal Abbreviation,Type of Law,Effect,Type of Change,Effective Date,Effective Date Note,Effective Date Month,Effective Date Day,Effective Date Year,Statutory Citation,Content,Controlling Law at Beginning of Period (1979),Age for Minimum Age Laws,"Length of Waiting Period (days, handguns)",Additional Context and Notes,Caveats and Ambiguities,Confirmation Code
CA1012,California,CA,Child access laws - negligent storage (CAP),Restrictive,Modify,1/1/2014,,1,1,2014,Cal Pen Code § 25100,"Except as provided in Section 25105, a person commits the crime of “criminal storage of a firearm in the first degree” if all of the following conditions are satisfied:
(1) The person keeps any loaded firearm within any premises that are under the person's custody or control.
(2) The person knows or reasonably should know that a child is likely to gain access to the firearm without the permission of the child's parent or legal guardian, or that a person prohibited from possessing a firearm or deadly weapon pursuant to state or federal law is likely to gain access to the firearm.
(3) The child obtains access to the firearm and thereby causes death or great bodily injury to the child or any other person, or the person prohibited from possessing a firearm or deadly weapon pursuant to state or federal law obtains access to the firearm and thereby causes death or great bodily injury to himself or herself or any other person.",,,,,,
CA1013,California,CA,Dealer license - handguns and long guns,Restrictive,Implement,9/9/1953,,9,9,1953,"Cal. Penal Code §§ 12070, 12071","12070. Any person who, without being licensed as provided in this article, engages in the business of selling or otherwise transferring, or who advertises for sale, or offers or exposes for sale or transfer, any pistol, revolver, or other firearm capable of being concealed upon the person is guilty of a misdemeanor.
12071. The duly constituted licensing authorities of any city or county may grant licenses in form prescribed by the Attorney General, effective for not more than one year from date of issue, permitting the licensee to sell at retail within the county, city and county, city, town or other municipality pistols, revolvers, and other firearms capable of being concealed upon the person, subject to the following conditions, for breach of any of which the license shall be subject to forfeiture: [...]",1,,,,,
CA1014,California,CA,Firearm Ban - Assault Weapon Ban,Restrictive,Implement,1/1/1990,,1,1,1990,Cal. Penal Code § 30505,The Legislature has restricted the assault weapons specified in Section 30510 based upon finding that each firearm has such a high rate of fire and capacity for firepower that its function as a legitimate sports or recreational firearm is substantially outweighed by the danger that it can be used to kill and injure human beings.,,,,"List of banned weapons in Cal. Penal Code § 30510, and banned features in Cal. Penal Code § 30515.",,
CA1015,California,CA,Firearm Ban - Saturday Night Special Ban,Restrictive,Implement,1/1/2001,,1,1,2001,Cal. Penal Code § 12126 et seq. (pre 2012); Cal. Penal Code § 31900 et seq. (post 2012),"§ 31910. ""Unsafe handgun""
As used in this part, ""unsafe handgun"" means any pistol, revolver, or other firearm capable of being concealed upon
the person, for which any of the following is true:
(a) For a revolver:
(1) It does not have a safety device that, either automatically in the case of a double-action firing mechanism, or
by manual operation in the case of a single-action firing mechanism, causes the hammer to retract to a point where the
firing pin does not rest upon the primer of the cartridge.
(2) It does not meet the firing requirement for handguns.
(3) It does not meet the drop safety requirement for handguns.
(b) For a pistol:
(1) It does not have a positive manually operated safety device, as determined by standards relating to imported
guns promulgated by the federal Bureau of Alcohol, Tobacco, Firearms and Explosives.
(2) It does not meet the firing requirement for handguns.
(3) It does not meet the drop safety requirement for handguns.",,,,,,
CA1016,California,CA,Minimum age for youth possession - handguns,Restrictive,Implement,7/14/1965,,7,14,1965,,(Unable to find text),,Not sure. See caveats and ambiguities,,,Unable to find text of law that was initially implemented.,
CA1017,California,CA,Minimum age for youth possession - handguns,Restrictive,Modify,8/22/1967,,8,22,1967,Cal. Penal Code § 29610,"A minor shall not possess a pistol, revolver, or other firearm capable of being concealed upon the person.",1,18,,"Before 2012, section titled Cal. Penal Code § 12102. ""Minor"" defined by Cal. Fam. Code § 6500 as under 18..",,
CA1018,California,CA,Minimum age for youth possession - long guns,,,,,,,,,No law imposing minimum age for youth possession of long guns,1,,,,,H
CA1019,California,CA,Minimum age for youth possession - long guns,,,,,,,,,No law imposing minimum purchase and sale age for long guns,1,,,,,H
CA1020,California,CA,Minimum purchase and sale age - handguns,Restrictive,Implement,1/1/1953,"Not sure about day + month, so using January 1.",1,1,1953,Cal. Penal Code §12072,"No person shall sell, deliver, or otherwise transfer any pistol, revolver, or other firearm capable of being concealed upon the person to…any minor under the age of 18 years.",1,18,,,Disagreement with Vernick and Hepburn (2003) about effective date and minimum age.,
CA1021,California,CA,Minimum purchase and sale age - handguns,Restrictive,Modify,1/1/2002,,1,1,2002,Cal. Penal Code §12072,"No person, corporation, or firm shall sell, loan, or transfer a firearm to  a minor, nor sell a handgun to an individual under 21 years of
age.",,21,,,Disagreement with Vernick and Hepburn (2003) about effective date and minimum age.,
CA1022,California,CA,Minimum purchase and sale age - handguns,Restrictive,Implement,12/30/1990,,12,30,1990,Penal Code § 27505,"No person, corporation, or firm shall sell, loan, or transfer a firearm to a minor, nor sell a handgun to an individual under 21 years of age.",,21,,"Before 2012, reference was Cal. Penal Code §12072(a)(3)(A).","Disagreement with Vernick and Hepburn (2003) about year of enactment, age limit.",
CA1023,California,CA,One gun per month - handguns,Restrictive,Implement,1/1/2000,,1,1,2000,Cal. Penal Code § 27535,"§ 27535.  Application to purchase handgun; Limitations; Exceptions
(a) No person shall make an application to purchase more than one handgun within any 30-day period.
(b) Subdivision (a) shall not apply to any of the following:
 (1) Any law enforcement agency.
 (2) Any agency duly authorized to perform law enforcement duties.
 (3) Any state or local correctional facility.
 (4) Any private security company licensed to do business in California.
 (5) Any person who is properly identified as a full-time paid peace officer, as defined in Chapter 4.5 (commencing with Section 830) of Title 3 of Part 2, and who is authorized to, and does carry a firearm during the course and scope of employment as a peace officer.
 (6) Any motion picture, television, or video production company or entertainment or theatrical company whose production by its nature involves the use of a firearm.
 (7) Any person who may, pursuant to Article 2 (commencing with Section 27600), Article 3 (commencing with Section 27650), or Article 4 (commencing with Section 27700), claim an exemption from the waiting period set forth in Section 27540.
 (8) Any transaction conducted through a licensed firearms dealer pursuant to Chapter 5 (commencing with Section 28050).
 (9) Any person who is licensed as a collector pursuant to Chapter 44 (commencing with Section 921) of Title 18 of the United States Code and the regulations issued pursuant thereto, and has a current certificate of eligibility issued by the Department of Justice pursuant to Article 1 (commencing with Section 26700) of Chapter 2.
 (10) The exchange of a handgun where the dealer purchased that firearm from the person seeking the exchange within the 30-day period immediately preceding the date of exchange or replacement.
 (11) The replacement of a handgun when the person's handgun was lost or stolen, and the person reported that firearm lost or stolen prior to the completion of the application to purchase to any local law enforcement agency of the city, county, or city and county in which the person resides.
 (12) The return of any handgun to its owner.
 (13) A community college that is certified by the Commission on Peace Officer Standards and Training to present the law enforcement academy basic course or other commission-certified law enforcement training.",,,,,,
CA1024,California,CA,One gun per month - handguns,,,,,,,,,No law regarding one gun per month,1,,,,,
CA1025,California,CA,Open Carry prohibited - handguns,Restrictive,Modify,1/1/2012,,1,1,2012,Cal. Penal Code § 26350,"A person is guilty of openly carrying an unloaded handgun when that person carries upon his or her person an exposed and unloaded handgun outside a vehicle while in or on any of the following: A person is guilty of openly carrying an unloaded handgun when that person carries upon his or her person an exposed and unloaded handgun outside a vehicle while in or on any of the following:
(A) A public place or public street in an incorporated city or city and county.
(B) A public street in a prohibited area of an unincorporated area of a county or city and county.
(C) A public place in a prohibited area of a county or city and county.
(2) A person is guilty of openly carrying an unloaded handgun when that person carries an exposed and unloaded handgun inside or on a vehicle, whether or not on his or her person, while in or on any of the following:
(A) A public place or public street in an incorporated city or city and county.
(B) A public street in a prohibited area of an unincorporated area of a county or city and county.
(C) A public place in a prohibited area of a county or city and county.
",,,,"Exception in Cal. Penal Code §§ 26150, 26155: Where the population of the county is less than 200,000 persons according to the most recent federal decennial census, a license to carry loaded and exposed in only that county a pistol, revolver, or other firearm capable of being concealed upon the person.",,
